Trampa,Tau,Error Tau,Pc,Temperatura,Intensidad,Error Intensidad,tph,Máscara,p-valor
"(753, 568)",2.428531196355172e-05,6.404492447982506e-07,0.8531300358601901,126,"[1370.2576904296875, 1603.65869140625, 1630.649169921875, 1630.8099365234375, 1469.0767822265625, 1075.7935791015625, 880.941650390625, 424.6461486816406, 326.91729736328125, 126.73707580566406, 55.36610794067383, 16.965652465820312, 60.0936164855957, 43.507408142089844, 93.52033996582031, 25.798492431640625, 8.46578598022461, 15.835264205932617, 30.464574813842773, 115.28111267089844, 43.19868087768555, 3.852910041809082]","[50.090205751879544, 50.088873775263586, 50.0897900477119, 50.08942026030949, 50.089115769107785, 50.09061534707537, 50.08792053498317, 50.08723238639628, 50.089611630906624, 50.08980627862327, 50.08691065182022, 50.087689563804645, 50.089341990085195, 50.09041226952904, 50.086721783877756, 50.087808863063024, 50.08971441250039, 50.08695302800291, 50.087897677408044, 50.089106361775535, 50.08896993724786, 50.08726733012811]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.5986340200285473
"(132, 560)",2.148742317033125e-05,5.734907579924125e-07,0.8782619491576529,126,"[1453.12353515625, 1647.7447509765625, 1724.680419921875, 1624.79052734375, 1488.7607421875, 986.63671875, 747.5476684570312, 390.8733825683594, 134.5234375, 63.51899337768555, 4.39453125, 49.37594223022461, 90.81438446044922, 24.961477279663086, 88.64305114746094, 37.71498107910156, 24.47076988220215, 34.948143005371094, 3.0563039779663086, 29.714439392089844, 4.199085235595703, 28.69827651977539]","[50.090205751879544, 50.088873775263586, 50.0897900477119, 50.08942026030949, 50.089115769107785, 50.09061534707537, 50.08792053498317, 50.08723238639628, 50.089611630906624, 50.08980627862327, 50.08691065182022, 50.087689563804645, 50.089341990085195, 50.09041226952904, 50.086721783877756, 50.087808863063024, 50.08971441250039, 50.08695302800291, 50.087897677408044, 50.089106361775535, 50.08896993724786, 50.08726733012811]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.5451188496725161
"(568, 458)",1.513259589678408e-05,3.6911555616541604e-07,1.1166163626092922,126,"[2061.050537109375, 2246.4345703125, 2035.99658203125, 1725.650390625, 1355.213134765625, 881.5703125, 627.7869873046875, 174.49258422851562, 94.04350280761719, 39.7615852355957, 55.489356994628906, 41.936424255371094, 17.16339111328125, 9.400861740112305, 21.204200744628906, 27.42685890197754, 9.13294792175293, 8.539332389831543, 37.192752838134766, 103.1968002319336, 40.37446212768555, 20.694908142089844]","[50.090205751879544, 50.088873775263586, 50.0897900477119, 50.08942026030949, 50.089115769107785, 50.09061534707537, 50.08792053498317, 50.08723238639628, 50.089611630906624, 50.08980627862327, 50.08691065182022, 50.087689563804645, 50.089341990085195, 50.09041226952904, 50.086721783877756, 50.087808863063024, 50.08971441250039, 50.08695302800291, 50.087897677408044, 50.089106361775535, 50.08896993724786, 50.08726733012811]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.7673267178700697
"(248, 396)",1.2027497527571018e-05,3.828482036522967e-07,0.9711713160508627,126,"[1851.885986328125, 1859.782470703125, 1600.2679443359375, 1311.594482421875, 1009.1177978515625, 522.6923828125, 244.0034942626953, 53.65571594238281, 67.80994415283203, 3.003232955932617, 38.206626892089844, 17.62190055847168, 13.389280319213867, 6.045124053955078, 57.6522102355957, 9.049030303955078, 1.7058186531066895, 74.23423767089844, 76.36786651611328, 0.6072196960449219, 46.4519157409668, 28.257003784179688]","[50.090205751879544, 50.088873775263586, 50.0897900477119, 50.08942026030949, 50.089115769107785, 50.09061534707537, 50.08792053498317, 50.08723238639628, 50.089611630906624, 50.08980627862327, 50.08691065182022, 50.087689563804645, 50.089341990085195, 50.09041226952904, 50.086721783877756, 50.087808863063024, 50.08971441250039, 50.08695302800291, 50.087897677408044, 50.089106361775535, 50.08896993724786, 50.08726733012811]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.7461527024565052
"(820, 179)",0.00214474124694672,5.2987640041600224e-05,0.7317257324920933,127,"[6.845685005187988, 70.15342712402344, 90.91666412353516, 98.13154602050781, 41.63065719604492, 120.99627685546875, 220.150146484375, 278.5413818359375, 358.43499755859375, 506.65179443359375, 654.971435546875, 883.5592041015625, 1039.261474609375, 1166.57470703125, 1308.2584228515625, 1437.5185546875, 1325.814453125, 1206.63427734375, 990.9808349609375, 715.3195190429688, 417.31011962890625, 278.2330322265625]","[50.10037635069194, 50.101061569519416, 50.10438897421146, 50.10146947092407, 50.101703533259816, 50.10442176411014, 50.10469656405667, 50.100800075741496, 50.102717364128026, 50.10226171334048, 50.10185974343361, 50.100363502519116, 50.10157231022283, 50.10103431043931, 50.10109451380962, 50.10193663998038, 50.10049159484443, 50.100991993035485, 50.10069633770884, 50.10253629894914, 50.104243772275716, 50.10198103379183]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.8447265709665565
"(783, 197)",0.003242641782717132,8.698958857215116e-05,0.7029446649113884,127,"[49.697021484375, 14.479166030883789, 79.52127838134766, 65.45669555664062, 102.10639953613281, 97.70744323730469, 86.0293197631836, 184.19985961914062, 121.80461883544922, 334.71368408203125, 513.25732421875, 606.3630981445312, 791.5355224609375, 932.962646484375, 1070.2623291015625, 1319.39501953125, 1351.8531494140625, 1321.7998046875, 1164.1431884765625, 944.721435546875, 780.8397216796875, 485.0093688964844]","[50.10037635069194, 50.101061569519416, 50.10438897421146, 50.10146947092407, 50.101703533259816, 50.10442176411014, 50.10469656405667, 50.100800075741496, 50.102717364128026, 50.10226171334048, 50.10185974343361, 50.100363502519116, 50.10157231022283, 50.10103431043931, 50.10109451380962, 50.10193663998038, 50.10049159484443, 50.100991993035485, 50.10069633770884, 50.10253629894914, 50.104243772275716, 50.10198103379183]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.6893619026164081
"(62, 231)",0.0015320112885733718,4.228857097620458e-05,0.6487398341331705,127,"[3.637054443359375, 42.858333587646484, 35.3790168762207, 107.3519287109375, 116.46770477294922, 181.23468017578125, 265.3946533203125, 310.74285888671875, 397.115478515625, 576.3543090820312, 730.8291625976562, 895.7261962890625, 1083.3759765625, 1181.5389404296875, 1261.171630859375, 1182.7506103515625, 1090.0439453125, 860.305908203125, 647.0020751953125, 367.9227600097656, 238.20758056640625, 73.16770935058594]","[50.10037635069194, 50.101061569519416, 50.10438897421146, 50.10146947092407, 50.101703533259816, 50.10442176411014, 50.10469656405667, 50.100800075741496, 50.102717364128026, 50.10226171334048, 50.10185974343361, 50.100363502519116, 50.10157231022283, 50.10103431043931, 50.10109451380962, 50.10193663998038, 50.10049159484443, 50.100991993035485, 50.10069633770884, 50.10253629894914, 50.104243772275716, 50.10198103379183]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.9999752950889286
"(4, 270)",0.0016892174738153641,4.946541416855814e-05,0.6124031847848936,127,"[66.41026306152344, 52.722320556640625, 80.57127380371094, 108.66488647460938, 74.37559509277344, 99.97738647460938, 200.43362426757812, 292.2083435058594, 359.5056457519531, 489.00372314453125, 619.794921875, 874.9388427734375, 965.1558227539062, 1043.0938720703125, 1178.748291015625, 1182.30322265625, 1072.80322265625, 831.0232543945312, 678.6138305664062, 455.17633056640625, 232.90966796875, 94.75]","[50.10037635069194, 50.101061569519416, 50.10438897421146, 50.10146947092407, 50.101703533259816, 50.10442176411014, 50.10469656405667, 50.100800075741496, 50.102717364128026, 50.10226171334048, 50.10185974343361, 50.100363502519116, 50.10157231022283, 50.10103431043931, 50.10109451380962, 50.10193663998038, 50.10049159484443, 50.100991993035485, 50.10069633770884, 50.10253629894914, 50.104243772275716, 50.10198103379183]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.9899494691409053
"(50, 10)",0.001681862390125709,5.204946701352712e-05,0.5794185927620868,127,"[22.852827072143555, 40.46443557739258, 59.183631896972656, 43.99092483520508, 37.115325927734375, 115.76383972167969, 136.67694091796875, 263.8473205566406, 306.8235168457031, 460.1195068359375, 622.7849731445312, 778.5376586914062, 976.390625, 1024.092041015625, 1070.648193359375, 1127.0740966796875, 1012.5718383789062, 838.2679443359375, 584.4791259765625, 369.2982177734375, 268.9087829589844, 107.69866180419922]","[50.10037635069194, 50.101061569519416, 50.10438897421146, 50.10146947092407, 50.101703533259816, 50.10442176411014, 50.10469656405667, 50.100800075741496, 50.102717364128026, 50.10226171334048, 50.10185974343361, 50.100363502519116, 50.10157231022283, 50.10103431043931, 50.10109451380962, 50.10193663998038, 50.10049159484443, 50.100991993035485, 50.10069633770884, 50.10253629894914, 50.104243772275716, 50.10198103379183]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.976493327515439
"(763, 102)",0.0013474906328425074,8.211384752869316e-05,0.2935794549641728,127,"[59.23854064941406, 38.460269927978516, 5.624702453613281, 71.90997314453125, 39.65610122680664, 126.82841491699219, 115.33883666992188, 208.73287963867188, 203.30908203125, 243.23422241210938, 384.818603515625, 469.426025390625, 506.40386962890625, 509.5581970214844, 552.0736694335938, 511.34478759765625, 479.0440673828125, 375.1787109375, 269.77813720703125, 105.03646087646484, 73.52246856689453, 31.35148811340332]","[50.10037635069194, 50.101061569519416, 50.10438897421146, 50.10146947092407, 50.101703533259816, 50.10442176411014, 50.10469656405667, 50.100800075741496, 50.102717364128026, 50.10226171334048, 50.10185974343361, 50.100363502519116, 50.10157231022283, 50.10103431043931, 50.10109451380962, 50.10193663998038, 50.10049159484443, 50.100991993035485, 50.10069633770884, 50.10253629894914, 50.104243772275716, 50.10198103379183]","[3.33333333e-06 5.00000000e-06 6.66666667e-06 1.00000000e-05
 1.33333333e-05 2.00000000e-05 2.66666667e-05 4.00000000e-05
 5.33333333e-05 8.00000000e-05 1.06666667e-04 1.60000000e-04
 2.13333333e-04 3.20000000e-04 4.26666667e-04 6.40000000e-04
 8.53333333e-04 1.28000000e-03 1.70666667e-03 2.56000000e-03
 3.41333333e-03 5.12000000e-03]","[False False False False False False False False False False False False
 False False False False False False False False False False]",0.9959332590611089
