# E [eV], error E [eV], sigma [cm^2], error sigma [cm^2]
2.335187196315279545e-01,2.208918497671286379e-03,1.502265089572768820e-14,2.883850631340433236e-15
2.753430669369704153e-01,5.776328614181151094e-03,2.279581440537886084e-16,8.484984566478328236e-17
2.707158208328160898e-01,7.417398035069916115e-03,1.757564857772465427e-16,8.516734041768789355e-17
3.046229852575220165e-01,1.629437850005846598e-03,5.038125868754317958e-12,6.990854891649260776e-13
2.455526253152735816e-01,3.335543266554064686e-03,4.252692555310416390e-14,1.246593016936231973e-14
2.933652454771624174e-01,2.340105908175889402e-03,9.652416864887899454e-16,1.465360500634145629e-16
2.648445959743933598e-01,1.289070861579306483e-02,1.056131305742798136e-16,9.020277478719519081e-17
2.828336655281680767e-01,7.240615419829874583e-03,4.418002666816951095e-16,2.143706114305724641e-16
2.897865953006253936e-01,2.265397411663538051e-03,1.437440684751183822e-15,2.170618767471455445e-16
3.555711186596234308e-01,2.254534377121419908e-03,2.393709599861211954e-13,3.504537784736719597e-14
2.656074810973622080e-01,7.018407696179580074e-03,1.278229457089319520e-16,5.866030414617579029e-17
2.837517226236819234e-01,3.576769843197388256e-03,9.200406113692533066e-17,2.071692163223243233e-17
